Leg. Dist. 07,,,,,,,,,,
"",1,540,125,311,32,12,23,4,0,33
"",2,368,149,138,29,11,16,0,0,25
Leg. Dist. 07,,908,274,449,61,23,39,4,0,58
Leg. Dist. 22,,,,,,,,,,
"",2,183,130,19,2,6,4,0,0,22
"",3,305,168,31,8,7,7,4,0,80
"",4,193,135,20,1,4,1,1,0,31
"",5,237,159,28,7,5,3,0,0,35
"",6,251,166,32,4,2,7,2,0,38
"",7,190,128,19,4,10,1,0,0,28
"",9,225,128,51,4,3,9,1,0,29
"",10,213,153,31,1,3,4,0,0,21
"",13,114,77,10,0,2,0,2,0,23
"",14,256,163,47,6,4,9,2,0,25
"",15,347,254,39,9,10,5,1,0,29
"",16,132,91,20,3,0,2,0,0,16
"",18,184,120,20,3,2,5,1,0,33
"",19,195,127,33,5,4,4,1,0,21
"",21,178,103,34,6,2,5,0,0,28
"",25,512,294,109,13,23,7,6,0,60
"",26/25-19,286,177,58,11,7,11,0,0,22
Leg. Dist. 22,,"4,001","2,573",601,87,94,84,21,0,541
Leg. Dist. 23,,,,,,,,,,
"",28,415,228,80,16,34,18,4,1,34
"",29,76,36,23,2,2,4,2,0,7
Leg. Dist. 23,,491,264,103,18,36,22,6,1,41
Leg. Dist. 24,,,,,,,,,,
"",1,419,212,97,15,48,24,0,0,23
"",2/22,330,188,71,8,26,21,3,0,13
"",20,79,44,16,1,7,3,1,0,7
Leg. Dist. 24,,828,444,184,24,81,48,4,0,43
Leg. Dist. 25,,,,,,,,,,
"",1,435,266,106,9,15,11,1,1,26
"",5,350,245,43,10,8,2,2,0,40
"",9,178,103,34,3,8,8,0,0,22
"",10,376,258,58,8,11,7,2,0,32
"",12/28,370,217,59,8,50,17,4,0,15
"",15,272,181,54,4,6,3,2,0,22
"",16,313,185,57,11,6,10,1,0,43
"",17,262,163,28,3,9,4,4,0,51
Leg. Dist. 25,,,,,,,,,,
"",18,423,267,73,11,10,9,4,1,48
"",20,121,59,39,9,5,3,0,0,6
"",21/28-19,265,154,54,12,12,8,2,0,23
"",22,247,146,59,5,15,8,1,0,13
"",23,209,157,15,1,6,1,1,0,28
"",25,561,334,117,16,14,16,1,0,63
"",26/27,184,108,26,1,13,17,0,0,19
Leg. Dist. 25,,"4,566","2,843",822,111,188,124,25,2,451
Leg. Dist. 26,,,,,,,,,,
"",1,580,163,297,52,12,25,6,0,25
"",2,255,87,109,26,5,15,1,0,12
"",3,175,59,83,4,7,4,0,0,18
"",4,313,82,150,23,14,20,8,0,16
"",5,329,147,118,15,7,15,0,0,27
"",6,289,147,85,10,8,7,2,0,30
"",7,381,159,145,18,12,11,2,0,34
"",8,354,167,109,21,10,14,5,0,28
"",9,380,151,115,28,22,27,2,0,35
"",10,395,167,133,26,13,15,6,0,35
"",11,318,83,159,18,9,18,3,0,28
"",12,342,85,179,29,8,20,1,0,20
"",13,363,84,194,33,10,27,0,0,15
"",14,383,100,191,38,11,30,2,0,11
"",15,341,166,98,19,12,19,0,1,26
"",16,324,84,166,23,9,20,1,0,21
"",17,285,74,145,17,6,14,4,1,24
Leg. Dist. 26,,"5,807","2,005","2,476",400,175,301,43,2,405
Leg. Dist. 27,,,,,,,,,,
"",8,679,438,98,10,20,17,2,0,94
"",18,441,225,144,15,8,23,1,0,25
"",20,291,207,40,5,5,8,2,0,24
"",22,348,148,108,14,11,17,4,0,46
"",25,181,74,54,16,6,10,2,1,18
"",26,243,117,79,10,6,13,2,0,16
Leg. Dist. 27,,"2,183","1,209",523,70,56,88,13,1,223
Leg. Dist. 28,,,,,,,,,,
"",1,355,184,77,19,18,14,2,0,41
"",2,232,130,55,13,7,11,0,0,16
"",3,234,136,50,5,7,4,0,0,32
"",4,220,91,75,8,5,9,0,0,32
"",5,205,82,71,12,8,7,2,0,23
Leg. Dist. 28,,,,,,,,,,
"",6,444,224,124,16,20,20,3,2,35
"",7,559,262,177,20,17,25,2,0,56
"",8,312,200,52,11,4,6,2,1,36
"",9,352,173,115,17,8,17,0,1,21
"",10,145,74,31,7,2,6,4,0,21
"",11,289,147,63,9,15,11,0,0,44
"",12,203,112,32,13,7,7,1,0,31
"",13,344,171,76,16,10,18,3,0,50
"",14,347,210,59,17,11,17,4,0,29
"",15,151,85,28,2,6,8,0,0,22
"",16,289,135,82,12,8,13,3,0,36
"",17,57,28,17,4,1,1,0,0,6
"",18,314,155,90,15,14,13,1,0,26
"",20,453,208,141,29,19,16,1,0,39
"",21,404,207,105,18,23,18,8,0,25
"",22,202,115,43,10,5,7,1,0,21
Leg. Dist. 28,,"6,111","3,129","1,563",273,215,248,37,4,642
Leg. Dist. 29,,,,,,,,,,
"",1,53,31,13,0,2,1,0,0,6
"",2,150,83,29,5,9,5,1,0,18
"",3,18,12,3,0,0,0,2,0,1
"",7,243,101,87,14,11,11,0,1,18
