Leg. Dist. 24,,,,,,,,,,,,
"",3/23,320,196,53,7,13,16,7,6,1,2,19
"",5/24,431,248,86,10,13,12,13,6,2,0,41
"",6,289,177,43,7,13,16,7,3,0,0,23
"",7/19,321,174,64,10,15,11,5,8,3,0,31
"",8,307,164,65,16,18,16,3,5,4,0,16
"",9,252,143,56,14,7,5,5,4,2,0,16
"",11/12,282,170,41,4,7,8,1,5,1,0,45
"",17,139,71,45,0,1,0,0,0,1,0,21
Leg. Dist. 24,,"2,341","1,343",453,68,87,84,41,37,14,2,212
Leg. Dist. 25,,,,,,,,,,,,
"",2,361,250,18,3,15,14,0,5,1,1,54
"",3,410,285,29,5,5,11,3,4,0,0,68
"",4/24,204,130,23,2,4,6,1,2,0,0,36
"",6,272,153,24,11,25,22,6,8,1,0,22
"",7,436,328,5,1,3,8,3,3,2,0,83
"",8,360,277,10,5,8,5,1,3,1,1,49
"",11,185,132,6,2,4,5,0,2,0,0,34
"",13,330,231,5,2,7,8,4,2,2,0,69
"",14,183,117,19,6,6,13,3,6,0,0,13
"",29/30,299,184,39,4,15,19,3,6,1,0,28
Leg. Dist. 25,,"3,040","2,087",178,41,92,111,24,41,8,2,456
Leg. Dist. 27,,,,,,,,,,,,
"",1,420,283,42,14,5,14,6,4,4,0,48
"",2,432,312,36,12,4,10,4,6,1,0,47
"",3,357,205,57,13,10,11,7,4,1,0,49
"",4,439,301,43,9,10,13,2,10,0,1,50
"",5,448,322,20,6,8,22,5,3,0,0,62
"",6,425,301,23,9,4,11,4,1,0,1,71
"",7,401,255,50,5,11,13,5,5,0,0,57
"",9,429,294,31,3,7,17,4,5,0,0,68
"",10,393,254,57,13,17,11,2,7,1,0,31
"",11,486,339,42,8,11,16,1,6,1,0,62
"",12,374,266,25,8,9,14,4,5,4,1,38
"",13,436,340,20,4,11,6,7,2,0,0,46
"",14,324,242,17,3,5,10,1,2,0,0,44
"",15,385,281,17,6,7,15,3,3,0,0,53
"",16,406,296,24,10,7,6,5,6,1,0,51
"",17,494,344,43,2,7,16,4,4,1,0,73
"",19,449,317,23,9,7,15,1,7,0,0,70
"",21,216,161,14,5,8,9,1,1,0,0,17
"",23,274,199,10,3,8,9,1,7,0,1,36
Leg. Dist. 27,,"7,588","5,312",594,142,156,238,67,88,14,4,973
CITY,,"12,969","8,742","1,225",251,335,433,132,166,36,8,"1,641"
Chili,,,,,,,,,,,,
"",1,339,101,150,33,2,7,12,3,0,0,31
"",2,526,98,288,48,6,14,16,7,3,0,46
"",3,518,173,215,41,7,10,14,10,2,0,46
"",4,346,105,166,32,2,6,5,2,2,0,26
"",5,424,150,179,33,5,4,8,3,1,0,41
"",6,441,124,190,45,6,12,8,6,0,0,50
"",7,271,98,105,16,1,10,6,2,1,0,32
"",8,454,120,226,45,3,5,12,3,4,0,36
"",9,435,125,205,32,7,11,12,6,2,0,35
"",10,302,81,138,37,3,12,7,1,4,1,18
"",11,473,147,224,31,9,9,11,3,2,0,37
"",12,442,141,193,38,4,7,10,0,2,2,45
"",13,630,155,324,48,8,9,20,4,2,0,60
"",14,442,104,220,45,7,11,13,0,1,0,41
"",15,371,110,162,40,5,1,18,4,0,0,31
"",16,842,237,406,80,12,12,24,9,3,0,59
"",17,"1,024",279,516,72,10,15,20,7,5,0,100
"",18,487,140,238,36,3,7,18,2,3,0,40
"",19,413,145,184,22,2,6,5,5,3,0,41
"",20,598,224,232,42,7,14,12,4,2,1,60
"",21,301,88,137,19,3,6,10,1,1,1,35
"",22,512,233,170,33,11,11,15,4,0,2,33
"",23,349,100,169,25,3,12,8,2,2,0,28
Chili,,,,,,,,,,,,
"",24,933,323,378,73,12,15,27,2,6,0,97
"",25,386,171,112,24,7,12,17,2,0,0,41
"",26,582,155,278,55,6,11,25,0,5,0,47
"",27,416,129,175,44,7,9,13,5,1,0,33
"",28,362,125,133,30,5,11,5,1,3,0,49
"",29,285,84,129,24,4,8,4,3,2,0,27
"",30,309,107,111,32,2,15,3,4,2,0,33
"",31,430,140,194,23,7,9,10,7,0,0,40
"",32,495,150,214,42,12,7,15,4,1,0,50
Chili,,"15,138","4,662","6,761","1,240",188,308,403,116,65,7,"1,388"
Riga,,,,,,,,,,,,
"",1,779,192,387,83,11,14,22,6,0,0,64
"",2,592,114,333,64,8,12,19,3,3,0,36
"",3,377,102,182,35,4,0,12,2,2,0,38
"",4,506,103,273,50,8,8,16,5,2,0,41
"",5,491,85,304,41,3,7,12,1,0,0,38
"",6,476,82,251,71,5,5,20,4,1,0,37
Riga,,"3,221",678,"1,730",344,39,46,101,21,8,0,254
TOWNS,,"18,359","5,340","8,491","1,584",227,354,504,137,73,7,"1,642"
GRAND TOTAL:,,"31,328","14,082","9,716","1,835",562,787,636,303,109,15,"3,283"
