"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 21 1","State Assembly",138,,"Total votes",371
"Monroe","Leg. Dist. 21 2","State Assembly",138,,"Total votes",316
"Monroe","Leg. Dist. 21 3","State Assembly",138,,"Total votes",220
"Monroe","Leg. Dist. 21 4","State Assembly",138,,"Total votes",216
"Monroe","Leg. Dist. 21 6","State Assembly",138,,"Total votes",446
"Monroe","Leg. Dist. 21 9","State Assembly",138,,"Total votes",408
"Monroe","Leg. Dist. 21 10","State Assembly",138,,"Total votes",476
"Monroe","Leg. Dist. 21 12","State Assembly",138,,"Total votes",734
"Monroe","Leg. Dist. 21 14","State Assembly",138,,"Total votes",178
"Monroe","Leg. Dist. 21 15","State Assembly",138,,"Total votes",494
"Monroe","Leg. Dist. 21 17","State Assembly",138,,"Total votes",380
"Monroe","Leg. Dist. 21 26","State Assembly",138,,"Total votes",119
"Monroe","Leg. Dist. 23 1","State Assembly",138,,"Total votes",196
"Monroe","Leg. Dist. 23 2","State Assembly",138,,"Total votes",380
"Monroe","Leg. Dist. 23 3","State Assembly",138,,"Total votes",283
"Monroe","Leg. Dist. 23 4","State Assembly",138,,"Total votes",519
"Monroe","Leg. Dist. 23 5","State Assembly",138,,"Total votes",263
"Monroe","Leg. Dist. 23 6","State Assembly",138,,"Total votes",224
"Monroe","Leg. Dist. 23 7","State Assembly",138,,"Total votes",424
"Monroe","Leg. Dist. 23 8","State Assembly",138,,"Total votes",381
"Monroe","Leg. Dist. 23 9","State Assembly",138,,"Total votes",259
"Monroe","Leg. Dist. 23 10","State Assembly",138,,"Total votes",306
"Monroe","Leg. Dist. 23 11","State Assembly",138,,"Total votes",356
"Monroe","Leg. Dist. 23 13","State Assembly",138,,"Total votes",333
"Monroe","Leg. Dist. 23 14","State Assembly",138,,"Total votes",362
"Monroe","Leg. Dist. 23 15","State Assembly",138,,"Total votes",263
"Monroe","Leg. Dist. 23 17","State Assembly",138,,"Total votes",497
"Monroe","Leg. Dist. 23 20","State Assembly",138,,"Total votes",422
"Monroe","Leg. Dist. 23 21","State Assembly",138,,"Total votes",323
"Monroe","Leg. Dist. 23 28","State Assembly",138,,"Total votes",415
"Monroe","Leg. Dist. 23 29","State Assembly",138,,"Total votes",76
"Monroe","Leg. Dist. 24 1","State Assembly",138,,"Total votes",419
"Monroe","Leg. Dist. 24 2/22","State Assembly",138,,"Total votes",330
"Monroe","Leg. Dist. 24 3/23","State Assembly",138,,"Total votes",320
"Monroe","Leg. Dist. 24 4","State Assembly",138,,"Total votes",465
"Monroe","Leg. Dist. 24 5/24","State Assembly",138,,"Total votes",431
"Monroe","Leg. Dist. 24 6","State Assembly",138,,"Total votes",289
"Monroe","Leg. Dist. 24 7/19","State Assembly",138,,"Total votes",321
