"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 07 1","State Senate",56,,"Total votes",540
"Monroe","Leg. Dist. 07 2","State Senate",56,,"Total votes",368
"Monroe","Leg. Dist. 22 2","State Senate",56,,"Total votes",183
"Monroe","Leg. Dist. 22 3","State Senate",56,,"Total votes",305
"Monroe","Leg. Dist. 22 4","State Senate",56,,"Total votes",193
"Monroe","Leg. Dist. 22 5","State Senate",56,,"Total votes",237
"Monroe","Leg. Dist. 22 6","State Senate",56,,"Total votes",251
"Monroe","Leg. Dist. 22 7","State Senate",56,,"Total votes",190
"Monroe","Leg. Dist. 22 9","State Senate",56,,"Total votes",225
"Monroe","Leg. Dist. 22 10","State Senate",56,,"Total votes",213
"Monroe","Leg. Dist. 22 13","State Senate",56,,"Total votes",114
"Monroe","Leg. Dist. 22 14","State Senate",56,,"Total votes",256
"Monroe","Leg. Dist. 22 15","State Senate",56,,"Total votes",347
"Monroe","Leg. Dist. 22 16","State Senate",56,,"Total votes",132
"Monroe","Leg. Dist. 22 18","State Senate",56,,"Total votes",184
"Monroe","Leg. Dist. 22 19","State Senate",56,,"Total votes",195
"Monroe","Leg. Dist. 22 21","State Senate",56,,"Total votes",178
"Monroe","Leg. Dist. 22 25","State Senate",56,,"Total votes",512
"Monroe","Leg. Dist. 22 26/25-19","State Senate",56,,"Total votes",286
"Monroe","Leg. Dist. 23 28","State Senate",56,,"Total votes",415
"Monroe","Leg. Dist. 23 29","State Senate",56,,"Total votes",76
"Monroe","Leg. Dist. 24 1","State Senate",56,,"Total votes",419
"Monroe","Leg. Dist. 24 2/22","State Senate",56,,"Total votes",330
"Monroe","Leg. Dist. 24 20","State Senate",56,,"Total votes",79
"Monroe","Leg. Dist. 25 1","State Senate",56,,"Total votes",435
"Monroe","Leg. Dist. 25 5","State Senate",56,,"Total votes",350
"Monroe","Leg. Dist. 25 9","State Senate",56,,"Total votes",178
"Monroe","Leg. Dist. 25 10","State Senate",56,,"Total votes",376
"Monroe","Leg. Dist. 25 12/28","State Senate",56,,"Total votes",370
"Monroe","Leg. Dist. 25 15","State Senate",56,,"Total votes",272
"Monroe","Leg. Dist. 25 16","State Senate",56,,"Total votes",313
"Monroe","Leg. Dist. 25 17","State Senate",56,,"Total votes",262
"Monroe","Leg. Dist. 25 18","State Senate",56,,"Total votes",423
"Monroe","Leg. Dist. 25 20","State Senate",56,,"Total votes",121
"Monroe","Leg. Dist. 25 21/28-19","State Senate",56,,"Total votes",265
"Monroe","Leg. Dist. 25 22","State Senate",56,,"Total votes",247
"Monroe","Leg. Dist. 25 23","State Senate",56,,"Total votes",209
"Monroe","Leg. Dist. 25 25","State Senate",56,,"Total votes",561
"Monroe","Leg. Dist. 25 26/27","State Senate",56,,"Total votes",184
"Monroe","Leg. Dist. 26 1","State Senate",56,,"Total votes",580
"Monroe","Leg. Dist. 26 2","State Senate",56,,"Total votes",255
"Monroe","Leg. Dist. 26 3","State Senate",56,,"Total votes",175
"Monroe","Leg. Dist. 26 4","State Senate",56,,"Total votes",313
"Monroe","Leg. Dist. 26 5","State Senate",56,,"Total votes",329
"Monroe","Leg. Dist. 26 6","State Senate",56,,"Total votes",289
"Monroe","Leg. Dist. 26 7","State Senate",56,,"Total votes",381
"Monroe","Leg. Dist. 26 8","State Senate",56,,"Total votes",354
"Monroe","Leg. Dist. 26 9","State Senate",56,,"Total votes",380
"Monroe","Leg. Dist. 26 10","State Senate",56,,"Total votes",395
"Monroe","Leg. Dist. 26 11","State Senate",56,,"Total votes",318
"Monroe","Leg. Dist. 26 12","State Senate",56,,"Total votes",342
"Monroe","Leg. Dist. 26 13","State Senate",56,,"Total votes",363
"Monroe","Leg. Dist. 26 14","State Senate",56,,"Total votes",383
