"county","precinct","office","district","party","candidate","votes"
"Monroe","1","President","Leg. Dist. 07",,"Total votes",543
"Monroe","2","President","Leg. Dist. 07",,"Total votes",368
"Monroe","1","President","Leg. Dist. 16",,"Total votes",8
"Monroe","1","President","Leg. Dist. 21",,"Total votes",373
"Monroe","2","President","Leg. Dist. 21",,"Total votes",317
"Monroe","3","President","Leg. Dist. 21",,"Total votes",220
"Monroe","4","President","Leg. Dist. 21",,"Total votes",216
"Monroe","5","President","Leg. Dist. 21",,"Total votes",225
"Monroe","6","President","Leg. Dist. 21",,"Total votes",451
"Monroe","7","President","Leg. Dist. 21",,"Total votes",558
"Monroe","8","President","Leg. Dist. 21",,"Total votes",183
"Monroe","9","President","Leg. Dist. 21",,"Total votes",411
"Monroe","10","President","Leg. Dist. 21",,"Total votes",479
"Monroe","11","President","Leg. Dist. 21",,"Total votes",351
"Monroe","12","President","Leg. Dist. 21",,"Total votes",734
"Monroe","13","President","Leg. Dist. 21",,"Total votes",253
"Monroe","14","President","Leg. Dist. 21",,"Total votes",178
"Monroe","15","President","Leg. Dist. 21",,"Total votes",496
"Monroe","16","President","Leg. Dist. 21",,"Total votes",176
"Monroe","17","President","Leg. Dist. 21",,"Total votes",381
"Monroe","18","President","Leg. Dist. 21",,"Total votes",321
"Monroe","19","President","Leg. Dist. 21",,"Total votes",209
"Monroe","20","President","Leg. Dist. 21",,"Total votes",209
"Monroe","21","President","Leg. Dist. 21",,"Total votes",297
"Monroe","22","President","Leg. Dist. 21",,"Total votes",408
"Monroe","23","President","Leg. Dist. 21",,"Total votes",361
"Monroe","24","President","Leg. Dist. 21",,"Total votes",501
"Monroe","25","President","Leg. Dist. 21",,"Total votes",328
"Monroe","26","President","Leg. Dist. 21",,"Total votes",119
"Monroe","27","President","Leg. Dist. 21",,"Total votes",251
"Monroe","1","President","Leg. Dist. 22",,"Total votes",460
"Monroe","2","President","Leg. Dist. 22",,"Total votes",183
"Monroe","3","President","Leg. Dist. 22",,"Total votes",305
"Monroe","4","President","Leg. Dist. 22",,"Total votes",193
"Monroe","5","President","Leg. Dist. 22",,"Total votes",237
"Monroe","6","President","Leg. Dist. 22",,"Total votes",251
"Monroe","7","President","Leg. Dist. 22",,"Total votes",191
"Monroe","8","President","Leg. Dist. 22",,"Total votes",292
"Monroe","9","President","Leg. Dist. 22",,"Total votes",225
"Monroe","10","President","Leg. Dist. 22",,"Total votes",213
"Monroe","11","President","Leg. Dist. 22",,"Total votes",326
"Monroe","12","President","Leg. Dist. 22",,"Total votes",208
"Monroe","13","President","Leg. Dist. 22",,"Total votes",114
"Monroe","14","President","Leg. Dist. 22",,"Total votes",257
"Monroe","15","President","Leg. Dist. 22",,"Total votes",347
"Monroe","16","President","Leg. Dist. 22",,"Total votes",132
"Monroe","17","President","Leg. Dist. 22",,"Total votes",133
"Monroe","18","President","Leg. Dist. 22",,"Total votes",184
"Monroe","19","President","Leg. Dist. 22",,"Total votes",196
"Monroe","20","President","Leg. Dist. 22",,"Total votes",314
"Monroe","21","President","Leg. Dist. 22",,"Total votes",178
"Monroe","22","President","Leg. Dist. 22",,"Total votes",357
"Monroe","23","President","Leg. Dist. 22",,"Total votes",188
"Monroe","24","President","Leg. Dist. 22",,"Total votes",115
"Monroe","25","President","Leg. Dist. 22",,"Total votes",517
"Monroe","26/25-19","President","Leg. Dist. 22",,"Total votes",290
"Monroe","27","President","Leg. Dist. 22",,"Total votes",311
"Monroe","1","President","Leg. Dist. 23",,"Total votes",198
"Monroe","2","President","Leg. Dist. 23",,"Total votes",380
"Monroe","3","President","Leg. Dist. 23",,"Total votes",284
"Monroe","4","President","Leg. Dist. 23",,"Total votes",522
"Monroe","5","President","Leg. Dist. 23",,"Total votes",266
"Monroe","6","President","Leg. Dist. 23",,"Total votes",224
"Monroe","7","President","Leg. Dist. 23",,"Total votes",430
"Monroe","8","President","Leg. Dist. 23",,"Total votes",391
"Monroe","9","President","Leg. Dist. 23",,"Total votes",261
"Monroe","10","President","Leg. Dist. 23",,"Total votes",315
"Monroe","11","President","Leg. Dist. 23",,"Total votes",359
"Monroe","12","President","Leg. Dist. 23",,"Total votes",424
"Monroe","13","President","Leg. Dist. 23",,"Total votes",337
"Monroe","14","President","Leg. Dist. 23",,"Total votes",371
"Monroe","15","President","Leg. Dist. 23",,"Total votes",268
"Monroe","16","President","Leg. Dist. 23",,"Total votes",182
"Monroe","17","President","Leg. Dist. 23",,"Total votes",498
"Monroe","18","President","Leg. Dist. 23",,"Total votes",691
"Monroe","19","President","Leg. Dist. 23",,"Total votes",402
"Monroe","20","President","Leg. Dist. 23",,"Total votes",431
"Monroe","21","President","Leg. Dist. 23",,"Total votes",323
"Monroe","22","President","Leg. Dist. 23",,"Total votes",314
"Monroe","23","President","Leg. Dist. 23",,"Total votes",233
"Monroe","24","President","Leg. Dist. 23",,"Total votes",359
"Monroe","25","President","Leg. Dist. 23",,"Total votes",494
"Monroe","26","President","Leg. Dist. 23",,"Total votes",580
"Monroe","27","President","Leg. Dist. 23",,"Total votes",272
"Monroe","28","President","Leg. Dist. 23",,"Total votes",419
"Monroe","29","President","Leg. Dist. 23",,"Total votes",79
"Monroe","1","President","Leg. Dist. 24",,"Total votes",423
"Monroe","2/22","President","Leg. Dist. 24",,"Total votes",332
"Monroe","3/23","President","Leg. Dist. 24",,"Total votes",321
"Monroe","4","President","Leg. Dist. 24",,"Total votes",469
"Monroe","5/24","President","Leg. Dist. 24",,"Total votes",434
"Monroe","6","President","Leg. Dist. 24",,"Total votes",291
"Monroe","7/19","President","Leg. Dist. 24",,"Total votes",332
"Monroe","8","President","Leg. Dist. 24",,"Total votes",317
"Monroe","9","President","Leg. Dist. 24",,"Total votes",252
"Monroe","10","President","Leg. Dist. 24",,"Total votes",468
"Monroe","11/12","President","Leg. Dist. 24",,"Total votes",282
"Monroe","13","President","Leg. Dist. 24",,"Total votes",409
"Monroe","14/21","President","Leg. Dist. 24",,"Total votes",534
"Monroe","15","President","Leg. Dist. 24",,"Total votes",440
"Monroe","16","President","Leg. Dist. 24",,"Total votes",377
"Monroe","17","President","Leg. Dist. 24",,"Total votes",139
"Monroe","18","President","Leg. Dist. 24",,"Total votes",411
"Monroe","20","President","Leg. Dist. 24",,"Total votes",79
"Monroe","1","President","Leg. Dist. 25",,"Total votes",436
"Monroe","2","President","Leg. Dist. 25",,"Total votes",361
"Monroe","3","President","Leg. Dist. 25",,"Total votes",410
"Monroe","4/24","President","Leg. Dist. 25",,"Total votes",205
"Monroe","5","President","Leg. Dist. 25",,"Total votes",350
"Monroe","6","President","Leg. Dist. 25",,"Total votes",273
"Monroe","7","President","Leg. Dist. 25",,"Total votes",437
"Monroe","8","President","Leg. Dist. 25",,"Total votes",361
"Monroe","9","President","Leg. Dist. 25",,"Total votes",178
"Monroe","10","President","Leg. Dist. 25",,"Total votes",376
"Monroe","11","President","Leg. Dist. 25",,"Total votes",185
"Monroe","12/28","President","Leg. Dist. 25",,"Total votes",373
"Monroe","13","President","Leg. Dist. 25",,"Total votes",330
"Monroe","14","President","Leg. Dist. 25",,"Total votes",184
"Monroe","15","President","Leg. Dist. 25",,"Total votes",272
"Monroe","16","President","Leg. Dist. 25",,"Total votes",314
"Monroe","17","President","Leg. Dist. 25",,"Total votes",262
"Monroe","18","President","Leg. Dist. 25",,"Total votes",423
"Monroe","20","President","Leg. Dist. 25",,"Total votes",121
"Monroe","21/28-19","President","Leg. Dist. 25",,"Total votes",265
"Monroe","22","President","Leg. Dist. 25",,"Total votes",248
"Monroe","23","President","Leg. Dist. 25",,"Total votes",211
"Monroe","25","President","Leg. Dist. 25",,"Total votes",562
"Monroe","26/27","President","Leg. Dist. 25",,"Total votes",185
"Monroe","29/30","President","Leg. Dist. 25",,"Total votes",301
"Monroe","1","President","Leg. Dist. 26",,"Total votes",583
