"county","precinct","office","district","party","candidate","votes"
"Monroe","Leg. Dist. 07 1","U.S. House",25,,"Total votes",543
"Monroe","Leg. Dist. 07 2","U.S. House",25,,"Total votes",368
"Monroe","Leg. Dist. 16 1","U.S. House",25,,"Total votes",8
"Monroe","Leg. Dist. 21 1","U.S. House",25,,"Total votes",373
"Monroe","Leg. Dist. 21 2","U.S. House",25,,"Total votes",317
"Monroe","Leg. Dist. 21 3","U.S. House",25,,"Total votes",220
"Monroe","Leg. Dist. 21 4","U.S. House",25,,"Total votes",216
"Monroe","Leg. Dist. 21 5","U.S. House",25,,"Total votes",225
"Monroe","Leg. Dist. 21 6","U.S. House",25,,"Total votes",451
"Monroe","Leg. Dist. 21 7","U.S. House",25,,"Total votes",558
"Monroe","Leg. Dist. 21 8","U.S. House",25,,"Total votes",183
"Monroe","Leg. Dist. 21 9","U.S. House",25,,"Total votes",411
"Monroe","Leg. Dist. 21 10","U.S. House",25,,"Total votes",479
"Monroe","Leg. Dist. 21 11","U.S. House",25,,"Total votes",351
"Monroe","Leg. Dist. 21 12","U.S. House",25,,"Total votes",734
"Monroe","Leg. Dist. 21 13","U.S. House",25,,"Total votes",253
"Monroe","Leg. Dist. 21 14","U.S. House",25,,"Total votes",178
"Monroe","Leg. Dist. 21 15","U.S. House",25,,"Total votes",496
"Monroe","Leg. Dist. 21 16","U.S. House",25,,"Total votes",176
"Monroe","Leg. Dist. 21 17","U.S. House",25,,"Total votes",381
"Monroe","Leg. Dist. 21 18","U.S. House",25,,"Total votes",321
"Monroe","Leg. Dist. 21 19","U.S. House",25,,"Total votes",209
"Monroe","Leg. Dist. 21 20","U.S. House",25,,"Total votes",209
"Monroe","Leg. Dist. 21 21","U.S. House",25,,"Total votes",297
"Monroe","Leg. Dist. 21 22","U.S. House",25,,"Total votes",408
"Monroe","Leg. Dist. 21 23","U.S. House",25,,"Total votes",361
"Monroe","Leg. Dist. 21 24","U.S. House",25,,"Total votes",501
"Monroe","Leg. Dist. 21 25","U.S. House",25,,"Total votes",328
"Monroe","Leg. Dist. 21 26","U.S. House",25,,"Total votes",119
"Monroe","Leg. Dist. 21 27","U.S. House",25,,"Total votes",251
"Monroe","Leg. Dist. 22 1","U.S. House",25,,"Total votes",460
"Monroe","Leg. Dist. 22 2","U.S. House",25,,"Total votes",183
"Monroe","Leg. Dist. 22 3","U.S. House",25,,"Total votes",305
"Monroe","Leg. Dist. 22 4","U.S. House",25,,"Total votes",193
"Monroe","Leg. Dist. 22 5","U.S. House",25,,"Total votes",237
"Monroe","Leg. Dist. 22 6","U.S. House",25,,"Total votes",251
"Monroe","Leg. Dist. 22 7","U.S. House",25,,"Total votes",191
"Monroe","Leg. Dist. 22 8","U.S. House",25,,"Total votes",292
"Monroe","Leg. Dist. 22 9","U.S. House",25,,"Total votes",225
"Monroe","Leg. Dist. 22 10","U.S. House",25,,"Total votes",213
"Monroe","Leg. Dist. 22 11","U.S. House",25,,"Total votes",326
"Monroe","Leg. Dist. 22 12","U.S. House",25,,"Total votes",208
"Monroe","Leg. Dist. 22 13","U.S. House",25,,"Total votes",114
"Monroe","Leg. Dist. 22 14","U.S. House",25,,"Total votes",257
"Monroe","Leg. Dist. 22 15","U.S. House",25,,"Total votes",347
"Monroe","Leg. Dist. 22 16","U.S. House",25,,"Total votes",132
"Monroe","Leg. Dist. 22 17","U.S. House",25,,"Total votes",133
"Monroe","Leg. Dist. 22 18","U.S. House",25,,"Total votes",184
"Monroe","Leg. Dist. 22 19","U.S. House",25,,"Total votes",196
"Monroe","Leg. Dist. 22 20","U.S. House",25,,"Total votes",314
"Monroe","Leg. Dist. 22 21","U.S. House",25,,"Total votes",178
"Monroe","Leg. Dist. 22 22","U.S. House",25,,"Total votes",357
"Monroe","Leg. Dist. 22 23","U.S. House",25,,"Total votes",188
"Monroe","Leg. Dist. 22 24","U.S. House",25,,"Total votes",115
"Monroe","Leg. Dist. 22 25","U.S. House",25,,"Total votes",517
"Monroe","Leg. Dist. 22 26/25-19","U.S. House",25,,"Total votes",289
"Monroe","Leg. Dist. 22 27","U.S. House",25,,"Total votes",311
"Monroe","Leg. Dist. 23 1","U.S. House",25,,"Total votes",198
"Monroe","Leg. Dist. 23 2","U.S. House",25,,"Total votes",380
"Monroe","Leg. Dist. 23 3","U.S. House",25,,"Total votes",284
"Monroe","Leg. Dist. 23 4","U.S. House",25,,"Total votes",522
"Monroe","Leg. Dist. 23 5","U.S. House",25,,"Total votes",265
"Monroe","Leg. Dist. 23 6","U.S. House",25,,"Total votes",224
"Monroe","Leg. Dist. 23 7","U.S. House",25,,"Total votes",430
"Monroe","Leg. Dist. 23 8","U.S. House",25,,"Total votes",391
"Monroe","Leg. Dist. 23 9","U.S. House",25,,"Total votes",261
"Monroe","Leg. Dist. 23 10","U.S. House",25,,"Total votes",315
"Monroe","Leg. Dist. 23 11","U.S. House",25,,"Total votes",359
"Monroe","Leg. Dist. 23 12","U.S. House",25,,"Total votes",424
"Monroe","Leg. Dist. 23 13","U.S. House",25,,"Total votes",335
"Monroe","Leg. Dist. 23 14","U.S. House",25,,"Total votes",371
"Monroe","Leg. Dist. 23 15","U.S. House",25,,"Total votes",268
