"county","precinct","office","district","party","candidate","votes"
"Monroe","1","U.S. Senate","Leg. Dist. 07",,"Total votes",543
"Monroe","2","U.S. Senate","Leg. Dist. 07",,"Total votes",368
"Monroe","1","U.S. Senate","Leg. Dist. 16",,"Total votes",8
"Monroe","1","U.S. Senate","Leg. Dist. 21",,"Total votes",373
"Monroe","2","U.S. Senate","Leg. Dist. 21",,"Total votes",317
"Monroe","3","U.S. Senate","Leg. Dist. 21",,"Total votes",220
"Monroe","4","U.S. Senate","Leg. Dist. 21",,"Total votes",216
"Monroe","5","U.S. Senate","Leg. Dist. 21",,"Total votes",225
"Monroe","6","U.S. Senate","Leg. Dist. 21",,"Total votes",451
"Monroe","7","U.S. Senate","Leg. Dist. 21",,"Total votes",558
"Monroe","8","U.S. Senate","Leg. Dist. 21",,"Total votes",183
"Monroe","9","U.S. Senate","Leg. Dist. 21",,"Total votes",411
"Monroe","10","U.S. Senate","Leg. Dist. 21",,"Total votes",479
"Monroe","11","U.S. Senate","Leg. Dist. 21",,"Total votes",351
"Monroe","12","U.S. Senate","Leg. Dist. 21",,"Total votes",734
"Monroe","13","U.S. Senate","Leg. Dist. 21",,"Total votes",253
"Monroe","14","U.S. Senate","Leg. Dist. 21",,"Total votes",178
"Monroe","15","U.S. Senate","Leg. Dist. 21",,"Total votes",496
"Monroe","16","U.S. Senate","Leg. Dist. 21",,"Total votes",176
"Monroe","17","U.S. Senate","Leg. Dist. 21",,"Total votes",381
"Monroe","18","U.S. Senate","Leg. Dist. 21",,"Total votes",321
"Monroe","19","U.S. Senate","Leg. Dist. 21",,"Total votes",209
"Monroe","20","U.S. Senate","Leg. Dist. 21",,"Total votes",209
"Monroe","21","U.S. Senate","Leg. Dist. 21",,"Total votes",297
"Monroe","22","U.S. Senate","Leg. Dist. 21",,"Total votes",408
"Monroe","23","U.S. Senate","Leg. Dist. 21",,"Total votes",361
"Monroe","24","U.S. Senate","Leg. Dist. 21",,"Total votes",501
"Monroe","25","U.S. Senate","Leg. Dist. 21",,"Total votes",328
"Monroe","26","U.S. Senate","Leg. Dist. 21",,"Total votes",119
"Monroe","27","U.S. Senate","Leg. Dist. 21",,"Total votes",251
"Monroe","1","U.S. Senate","Leg. Dist. 22",,"Total votes",460
"Monroe","2","U.S. Senate","Leg. Dist. 22",,"Total votes",183
"Monroe","3","U.S. Senate","Leg. Dist. 22",,"Total votes",305
"Monroe","4","U.S. Senate","Leg. Dist. 22",,"Total votes",193
"Monroe","5","U.S. Senate","Leg. Dist. 22",,"Total votes",237
"Monroe","6","U.S. Senate","Leg. Dist. 22",,"Total votes",251
"Monroe","7","U.S. Senate","Leg. Dist. 22",,"Total votes",191
"Monroe","8","U.S. Senate","Leg. Dist. 22",,"Total votes",292
"Monroe","9","U.S. Senate","Leg. Dist. 22",,"Total votes",225
"Monroe","10","U.S. Senate","Leg. Dist. 22",,"Total votes",213
"Monroe","11","U.S. Senate","Leg. Dist. 22",,"Total votes",326
"Monroe","12","U.S. Senate","Leg. Dist. 22",,"Total votes",208
"Monroe","13","U.S. Senate","Leg. Dist. 22",,"Total votes",114
"Monroe","14","U.S. Senate","Leg. Dist. 22",,"Total votes",257
"Monroe","15","U.S. Senate","Leg. Dist. 22",,"Total votes",347
"Monroe","16","U.S. Senate","Leg. Dist. 22",,"Total votes",132
"Monroe","17","U.S. Senate","Leg. Dist. 22",,"Total votes",133
"Monroe","18","U.S. Senate","Leg. Dist. 22",,"Total votes",184
"Monroe","19","U.S. Senate","Leg. Dist. 22",,"Total votes",196
"Monroe","20","U.S. Senate","Leg. Dist. 22",,"Total votes",314
"Monroe","21","U.S. Senate","Leg. Dist. 22",,"Total votes",178
"Monroe","22","U.S. Senate","Leg. Dist. 22",,"Total votes",357
"Monroe","23","U.S. Senate","Leg. Dist. 22",,"Total votes",188
"Monroe","24","U.S. Senate","Leg. Dist. 22",,"Total votes",115
"Monroe","25","U.S. Senate","Leg. Dist. 22",,"Total votes",517
"Monroe","26/25-19","U.S. Senate","Leg. Dist. 22",,"Total votes",289
"Monroe","27","U.S. Senate","Leg. Dist. 22",,"Total votes",311
"Monroe","1","U.S. Senate","Leg. Dist. 23",,"Total votes",198
"Monroe","2","U.S. Senate","Leg. Dist. 23",,"Total votes",380
"Monroe","3","U.S. Senate","Leg. Dist. 23",,"Total votes",284
"Monroe","4","U.S. Senate","Leg. Dist. 23",,"Total votes",522
"Monroe","5","U.S. Senate","Leg. Dist. 23",,"Total votes",265
"Monroe","6","U.S. Senate","Leg. Dist. 23",,"Total votes",224
"Monroe","7","U.S. Senate","Leg. Dist. 23",,"Total votes",430
"Monroe","8","U.S. Senate","Leg. Dist. 23",,"Total votes",391
"Monroe","9","U.S. Senate","Leg. Dist. 23",,"Total votes",261
"Monroe","10","U.S. Senate","Leg. Dist. 23",,"Total votes",315
"Monroe","11","U.S. Senate","Leg. Dist. 23",,"Total votes",359
"Monroe","12","U.S. Senate","Leg. Dist. 23",,"Total votes",424
"Monroe","13","U.S. Senate","Leg. Dist. 23",,"Total votes",335
"Monroe","14","U.S. Senate","Leg. Dist. 23",,"Total votes",371
"Monroe","15","U.S. Senate","Leg. Dist. 23",,"Total votes",268
"Monroe","16","U.S. Senate","Leg. Dist. 23",,"Total votes",182
"Monroe","17","U.S. Senate","Leg. Dist. 23",,"Total votes",498
"Monroe","18","U.S. Senate","Leg. Dist. 23",,"Total votes",691
"Monroe","19","U.S. Senate","Leg. Dist. 23",,"Total votes",402
"Monroe","20","U.S. Senate","Leg. Dist. 23",,"Total votes",431
"Monroe","21","U.S. Senate","Leg. Dist. 23",,"Total votes",323
"Monroe","22","U.S. Senate","Leg. Dist. 23",,"Total votes",314
"Monroe","23","U.S. Senate","Leg. Dist. 23",,"Total votes",233
"Monroe","24","U.S. Senate","Leg. Dist. 23",,"Total votes",359
"Monroe","25","U.S. Senate","Leg. Dist. 23",,"Total votes",494
"Monroe","26","U.S. Senate","Leg. Dist. 23",,"Total votes",580
"Monroe","27","U.S. Senate","Leg. Dist. 23",,"Total votes",272
